"sex","age","BMI","numberNeeded"
"Male",47,19,2
"Male",49,19,2
"Male",50,19,5
"Male",51,19,2
"Male",53,19,2
"Male",54,19,4
"Male",49,20,2
"Male",50,20,3
"Male",51,20,3
"Male",52,20,4
"Male",54,20,2
"Male",56,20,3
"Male",64,20,2
"Male",67,20,2
"Male",47,21,2
"Male",48,21,4
"Male",49,21,9
"Male",50,21,5
"Male",51,21,2
"Male",52,21,6
"Male",53,21,2
"Male",56,21,3
"Male",57,21,2
"Male",58,21,2
"Male",61,21,2
"Male",63,21,2
"Male",64,21,2
"Male",66,21,2
"Male",46,22,2
"Male",47,22,4
"Male",48,22,8
"Male",49,22,12
"Male",50,22,10
"Male",51,22,15
"Male",52,22,4
"Male",53,22,7
"Male",54,22,8
"Male",55,22,2
"Male",56,22,4
"Male",57,22,2
"Male",58,22,2
"Male",61,22,4
"Male",64,22,5
"Male",65,22,3
"Male",66,22,5
"Male",67,22,2
"Male",46,23,5
"Male",47,23,9
"Male",48,23,9
"Male",49,23,14
"Male",50,23,9
"Male",51,23,9
"Male",52,23,7
"Male",53,23,7
"Male",54,23,4
"Male",55,23,4
"Male",56,23,3
"Male",57,23,5
"Male",58,23,2
"Male",59,23,5
"Male",60,23,8
"Male",61,23,3
"Male",62,23,8
"Male",63,23,2
"Male",64,23,4
"Male",65,23,3
"Male",66,23,3
"Male",67,23,3
"Male",47,24,5
"Male",48,24,10
"Male",49,24,8
"Male",50,24,23
"Male",51,24,17
"Male",52,24,13
"Male",53,24,14
"Male",54,24,8
"Male",55,24,6
"Male",56,24,10
"Male",57,24,6
"Male",59,24,7
"Male",60,24,4
"Male",61,24,7
"Male",62,24,10
"Male",63,24,6
"Male",64,24,5
"Male",65,24,6
"Male",66,24,7
"Male",67,24,2
"Male",46,25,7
"Male",47,25,6
"Male",48,25,10
"Male",49,25,7
"Male",50,25,8
"Male",51,25,14
"Male",52,25,15
"Male",53,25,10
"Male",54,25,10
"Male",55,25,9
"Male",56,25,13
"Male",57,25,3
"Male",58,25,8
"Male",59,25,4
"Male",60,25,5
"Male",61,25,8
"Male",62,25,5
"Male",63,25,4
"Male",64,25,6
"Male",65,25,12
"Male",66,25,8
"Male",67,25,3
"Male",46,26,5
"Male",47,26,5
"Male",48,26,8
"Male",49,26,11
"Male",50,26,17
"Male",51,26,10
"Male",52,26,22
"Male",53,26,8
"Male",54,26,11
"Male",55,26,5
"Male",56,26,6
"Male",57,26,5
"Male",58,26,7
"Male",59,26,8
"Male",60,26,3
"Male",61,26,4
"Male",62,26,8
"Male",63,26,7
"Male",64,26,9
"Male",65,26,8
"Male",66,26,3
"Male",67,26,3
"Male",45,27,3
"Male",46,27,4
"Male",47,27,8
"Male",48,27,17
"Male",49,27,5
"Male",50,27,6
"Male",51,27,13
"Male",52,27,9
"Male",53,27,7
"Male",54,27,10
"Male",55,27,4
"Male",56,27,7
"Male",57,27,11
"Male",58,27,6
"Male",59,27,8
"Male",60,27,3
"Male",61,27,3
"Male",62,27,11
"Male",63,27,7
"Male",64,27,3
"Male",65,27,10
"Male",66,27,3
"Male",67,27,4
"Male",46,28,4
"Male",47,28,6
"Male",48,28,3
"Male",49,28,5
"Male",50,28,14
"Male",51,28,7
"Male",52,28,7
"Male",54,28,2
"Male",55,28,3
"Male",56,28,2
"Male",57,28,4
"Male",58,28,3
"Male",59,28,2
"Male",60,28,2
"Male",61,28,2
"Male",62,28,9
"Male",63,28,6
"Male",64,28,2
"Male",65,28,5
"Male",48,29,4
"Male",49,29,2
"Male",50,29,3
"Male",51,29,3
"Male",52,29,4
"Male",53,29,3
"Male",55,29,3
"Male",57,29,2
"Male",59,29,3
"Male",63,29,5
"Male",47,30,2
"Male",48,30,2
"Male",49,30,3
"Male",51,30,4
"Male",53,30,6
"Male",54,30,6
"Male",55,30,6
"Male",61,30,3
"Male",62,30,2
"Male",64,30,3
"Male",66,30,3
"Male",46,31,2
"Male",47,31,2
"Male",48,31,4
"Male",50,31,3
"Male",51,31,3
"Male",52,31,2
"Male",53,31,4
"Male",54,31,2
"Male",55,31,3
"Male",57,31,2
"Male",58,31,3
"Male",61,31,2
"Male",58,32,2
"Male",48,33,2
"Male",49,33,3
"Male",52,33,4
"Male",54,33,3
"Male",63,33,2
"Male",54,35,2
"Male",55,35,2
"Female",50,18,2
"Female",46,19,2
"Female",48,19,2
"Female",51,19,2
"Female",53,19,2
"Female",60,19,3
"Female",48,20,2
"Female",50,20,4
"Female",51,20,3
"Female",52,20,3
"Female",49,21,4
"Female",50,21,5
"Female",51,21,6
"Female",52,21,5
"Female",56,21,2
"Female",57,21,2
"Female",60,21,3
"Female",63,21,3
"Female",46,22,3
"Female",47,22,2
"Female",48,22,6
"Female",49,22,4
"Female",50,22,7
"Female",51,22,3
"Female",52,22,8
"Female",56,22,2
"Female",58,22,2
"Female",46,23,2
"Female",47,23,5
"Female",48,23,5
"Female",50,23,5
"Female",51,23,5
"Female",52,23,2
"Female",53,23,4
"Female",54,23,4
"Female",55,23,2
"Female",56,23,5
"Female",57,23,3
"Female",59,23,2
"Female",60,23,2
"Female",63,23,2
"Female",46,24,4
"Female",47,24,3
"Female",48,24,7
"Female",49,24,4
"Female",50,24,4
"Female",51,24,2
"Female",52,24,5
"Female",53,24,3
"Female",54,24,2
"Female",55,24,2
"Female",56,24,6
"Female",57,24,3
"Female",58,24,2
"Female",59,24,4
"Female",60,24,2
"Female",61,24,2
"Female",62,24,3
"Female",63,24,2
"Female",65,24,2
"Female",66,24,2
"Female",47,25,3
"Female",49,25,2
"Female",50,25,6
"Female",53,25,4
"Female",55,25,5
"Female",56,25,3
"Female",57,25,3
"Female",59,25,4
"Female",62,25,4
"Female",47,26,3
"Female",49,26,4
"Female",50,26,3
"Female",51,26,4
"Female",53,26,2
"Female",54,26,2
"Female",55,26,3
"Female",60,26,4
"Female",63,26,2
"Female",64,26,3
"Female",65,26,2
"Female",50,27,2
"Female",51,27,2
"Female",53,27,5
"Female",54,27,3
"Female",56,27,2
"Female",57,27,2
"Female",59,27,3
"Female",61,27,2
"Female",62,27,3
"Female",63,27,2
"Female",64,27,2
"Female",65,27,2
"Female",66,27,2
"Female",47,28,3
"Female",48,28,2
"Female",49,28,3
"Female",50,28,2
"Female",52,28,3
"Female",55,28,2
"Female",57,28,2
"Female",59,28,2
"Female",61,28,2
"Female",62,28,4
"Female",63,28,2
"Female",65,28,3
"Female",52,29,4
"Female",57,29,2
"Female",58,29,2
"Female",59,29,2
"Female",64,29,2
"Female",48,30,3
"Female",49,30,2
"Female",50,30,2
"Female",52,30,4
"Female",60,30,2
"Female",63,30,2
"Female",65,30,4
"Female",53,31,2
"Female",59,31,2
"Female",64,31,3
"Female",56,32,2
"Female",58,32,2
"Female",60,32,2
"Female",52,33,3
"Female",53,33,2
"Female",58,33,2
"Female",47,34,2
"Female",50,34,2
"Female",51,34,2
